5.17. netqlty 0.45, netp 0.5248, randp 0.4823, sxs 1
5.18. netqlty 0.40, netp 0.5282, randp 0.4789, sxs 1
5.19. netqlty 0.45, netp 0.5315, randp 0.4755, sxs 1
5.20. netqlty 0.43, netp 0.5278, randp 0.4722, sxs 0
5.21. netqlty 0.38, netp 0.5241, randp 0.4759, sxs 0
5.22. netqlty 0.42, netp 0.5205, randp 0.4795, sxs 0
5.23. netqlty 0.36, netp 0.5170, randp 0.4830, sxs 0
5.24. netqlty 0.42, netp 0.5203, randp 0.4865, sxs 1
5.25. netqlty 0.42, netp 0.5168, randp 0.4832, sxs 0
5.26. netqlty 0.38, netp 0.5200, randp 0.4867, sxs 1
5.27. netqlty 0.40, netp 0.5232, randp 0.4834, sxs 1
5.28. netqlty 0.38, netp 0.5263, randp 0.4803, sxs 1
5.29. netqlty 0.36, netp 0.5229, randp 0.4771, sxs 0
5.30. netqlty 0.40, netp 0.5260, randp 0.4805, sxs 1
5.31. netqlty 0.40, netp 0.5290, randp 0.4839, sxs 1
sxss 21, ones 21, zeros 10
6.1. netqlty 0.43, netp 0.5256, randp 0.4872, sxs 0
6.2. netqlty 0.41, netp 0.5223, randp 0.4841, sxs 0
6.3. netqlty 0.39, netp 0.5190, randp 0.4873, sxs 0
6.4. netqlty 0.41, netp 0.5157, randp 0.4906, sxs 0
6.5. netqlty 0.39, netp 0.5125, randp 0.4938, sxs 0
6.6. netqlty 0.41, netp 0.5155, randp 0.4969, sxs 1
6.7. netqlty 0.39, netp 0.5123, randp 0.5000, sxs 0
6.8. netqlty 0.44, netp 0.5153, randp 0.5031, sxs 1
6.9. netqlty 0.39, netp 0.5122, randp 0.5061, sxs 0
6.10. netqlty 0.37, netp 0.5091, randp 0.5091, sxs 0
6.11. netqlty 0.37, netp 0.5060, randp 0.5060, sxs 0
6.12. netqlty 0.41, netp 0.5030, randp 0.5030, sxs 0
6.13. netqlty 0.37, netp 0.5000, randp 0.5060, sxs 0
6.14. netqlty 0.44, netp 0.4970, randp 0.5030, sxs 0
6.15. netqlty 0.37, netp 0.4941, randp 0.5059, sxs 0
6.16. netqlty 0.46, netp 0.4971, randp 0.5088, sxs 1
6.17. netqlty 0.43, netp 0.4942, randp 0.5116, sxs 0
6.18. netqlty 0.43, netp 0.4913, randp 0.5087, sxs 0
6.19. netqlty 0.37, netp 0.4943, randp 0.5057, sxs 1
6.20. netqlty 0.43, netp 0.4914, randp 0.5029, sxs 0
6.21. netqlty 0.35, netp 0.4886, randp 0.5000, sxs 0
6.22. netqlty 0.39, netp 0.4915, randp 0.4972, sxs 1
6.23. netqlty 0.46, netp 0.4888, randp 0.4944, sxs 0
6.24. netqlty 0.46, netp 0.4860, randp 0.4916, sxs 0
6.25. netqlty 0.43, netp 0.4833, randp 0.4889, sxs 0
6.26. netqlty 0.39, netp 0.4807, randp 0.4862, sxs 0
6.27. netqlty 0.43, netp 0.4835, randp 0.4835, sxs 1
6.28. netqlty 0.41, netp 0.4809, randp 0.4863, sxs 0
6.29. netqlty 0.41, netp 0.4783, randp 0.4891, sxs 0
6.30. netqlty 0.43, netp 0.4757, randp 0.4865, sxs 0
6.31. netqlty 0.41, netp 0.4731, randp 0.4892, sxs 0
sxss 6, ones 6, zeros 25
7.1. netqlty 0.43, netp 0.4706, randp 0.4866, sxs 0
7.2. netqlty 0.39, netp 0.4734, randp 0.4840, sxs 1
7.3. netqlty 0.39, netp 0.4762, randp 0.4815, sxs 1
7.4. netqlty 0.39, netp 0.4737, randp 0.4789, sxs 0
7.5. netqlty 0.41, netp 0.4764, randp 0.4764, sxs 1
7.6. netqlty 0.41, netp 0.4792, randp 0.4792, sxs 1
7.7. netqlty 0.39, netp 0.4819, randp 0.4819, sxs 1
7.8. netqlty 0.39, netp 0.4794, randp 0.4845, sxs 0
7.9. netqlty 0.41, netp 0.4769, randp 0.4821, sxs 0
7.10. netqlty 0.44, netp 0.4796, randp 0.4796, sxs 1
7.11. netqlty 0.41, netp 0.4822, randp 0.4822, sxs 1
7.12. netqlty 0.41, netp 0.4848, randp 0.4798, sxs 1
7.13. netqlty 0.48, netp 0.4824, randp 0.4824, sxs 0
7.14. netqlty 0.43, netp 0.4800, randp 0.4800, sxs 0
7.15. netqlty 0.46, netp 0.4776, randp 0.4826, sxs 0
7.16. netqlty 0.35, netp 0.4802, randp 0.4851, sxs 1
7.17. netqlty 0.43, netp 0.4828, randp 0.4877, sxs 1
7.18. netqlty 0.41, netp 0.4804, randp 0.4902, sxs 0
7.19. netqlty 0.50, netp 0.4829, randp 0.4878, sxs 1
7.20. netqlty 0.46, netp 0.4806, randp 0.4903, sxs 0
7.21. netqlty 0.46, netp 0.4783, randp 0.4928, sxs 0
7.22. netqlty 0.43, netp 0.4760, randp 0.4952, sxs 0
7.23. netqlty 0.41, netp 0.4785, randp 0.4976, sxs 1
7.24. netqlty 0.43, netp 0.4810, randp 0.5000, sxs 1
7.25. netqlty 0.41, netp 0.4787, randp 0.4976, sxs 0
7.26. netqlty 0.43, netp 0.4811, randp 0.5000, sxs 1
7.27. netqlty 0.43, netp 0.4836, randp 0.4977, sxs 1
7.28. netqlty 0.43, netp 0.4860, randp 0.5000, sxs 1
7.29. netqlty 0.43, netp 0.4884, randp 0.4977, sxs 1
7.30. netqlty 0.43, netp 0.4907, randp 0.5000, sxs 1
7.31. netqlty 0.39, netp 0.4885, randp 0.4977, sxs 0
sxss 18, ones 13, zeros 18
8.1. netqlty 0.43, netp 0.4862, randp 0.5000, sxs 0
8.2. netqlty 0.39, netp 0.4840, randp 0.4977, sxs 0
8.3. netqlty 0.43, netp 0.4818, randp 0.5000, sxs 0
8.4. netqlty 0.43, netp 0.4796, randp 0.4977, sxs 0
8.5. netqlty 0.44, netp 0.4820, randp 0.5000, sxs 1
8.6. netqlty 0.43, netp 0.4798, randp 0.5022, sxs 0
8.7. netqlty 0.44, netp 0.4777, randp 0.5000, sxs 0
8.8. netqlty 0.43, netp 0.4800, randp 0.4978, sxs 1
8.9. netqlty 0.39, netp 0.4779, randp 0.5000, sxs 0
8.10. netqlty 0.43, netp 0.4758, randp 0.4978, sxs 0
8.11. netqlty 0.37, netp 0.4737, randp 0.4956, sxs 0
8.12. netqlty 0.43, netp 0.4716, randp 0.4934, sxs 0
8.13. netqlty 0.48, netp 0.4696, randp 0.4913, sxs 0
8.14. netqlty 0.41, netp 0.4719, randp 0.4935, sxs 1
8.15. netqlty 0.43, netp 0.4741, randp 0.4914, sxs 1
8.16. netqlty 0.37, netp 0.4721, randp 0.4893, sxs 0
8.17. netqlty 0.46, netp 0.4744, randp 0.4915, sxs 1
8.18. netqlty 0.43, netp 0.4723, randp 0.4936, sxs 0
8.19. netqlty 0.44, netp 0.4703, randp 0.4915, sxs 0
8.20. netqlty 0.44, netp 0.4684, randp 0.4937, sxs 0
8.21. netqlty 0.41, netp 0.4664, randp 0.4958, sxs 0
