160. netqlty 1.00, netp 0.5500, onep 0.5375, zerop 0.4625, randp 0.5000, kuperinp 0.4875, sxs 1
161. netqlty 1.00, netp 0.5466, onep 0.5342, zerop 0.4658, randp 0.4969, kuperinp 0.4907, sxs 0
162. netqlty 1.00, netp 0.5432, onep 0.5370, zerop 0.4630, randp 0.4938, kuperinp 0.4877, sxs 0
163. netqlty 1.00, netp 0.5460, onep 0.5399, zerop 0.4601, randp 0.4969, kuperinp 0.4908, sxs 1
164. netqlty 1.00, netp 0.5488, onep 0.5366, zerop 0.4634, randp 0.5000, kuperinp 0.4878, sxs 1
165. netqlty 1.00, netp 0.5455, onep 0.5394, zerop 0.4606, randp 0.5030, kuperinp 0.4848, sxs 0
166. netqlty 1.00, netp 0.5482, onep 0.5361, zerop 0.4639, randp 0.5000, kuperinp 0.4819, sxs 1
167. netqlty 1.00, netp 0.5509, onep 0.5329, zerop 0.4671, randp 0.4970, kuperinp 0.4850, sxs 1
168. netqlty 1.00, netp 0.5536, onep 0.5298, zerop 0.4702, randp 0.4940, kuperinp 0.4881, sxs 1
169. netqlty 1.00, netp 0.5503, onep 0.5325, zerop 0.4675, randp 0.4911, kuperinp 0.4852, sxs 0
170. netqlty 1.00, netp 0.5471, onep 0.5353, zerop 0.4647, randp 0.4882, kuperinp 0.4882, sxs 0
171. netqlty 1.00, netp 0.5439, onep 0.5322, zerop 0.4678, randp 0.4912, kuperinp 0.4854, sxs 0
172. netqlty 1.00, netp 0.5407, onep 0.5291, zerop 0.4709, randp 0.4884, kuperinp 0.4884, sxs 0
173. netqlty 1.00, netp 0.5434, onep 0.5260, zerop 0.4740, randp 0.4855, kuperinp 0.4913, sxs 1
174. netqlty 1.00, netp 0.5402, onep 0.5230, zerop 0.4770, randp 0.4885, kuperinp 0.4943, sxs 0
175. netqlty 1.00, netp 0.5429, onep 0.5200, zerop 0.4800, randp 0.4914, kuperinp 0.4971, sxs 1
176. netqlty 1.00, netp 0.5455, onep 0.5170, zerop 0.4830, randp 0.4943, kuperinp 0.5000, sxs 1
177. netqlty 1.00, netp 0.5424, onep 0.5198, zerop 0.4802, randp 0.4972, kuperinp 0.4972, sxs 0
178. netqlty 1.00, netp 0.5449, onep 0.5225, zerop 0.4775, randp 0.5000, kuperinp 0.5000, sxs 1
179. netqlty 1.00, netp 0.5419, onep 0.5251, zerop 0.4749, randp 0.5028, kuperinp 0.5028, sxs 0
180. netqlty 1.00, netp 0.5389, onep 0.5222, zerop 0.4778, randp 0.5056, kuperinp 0.5000, sxs 0
181. netqlty 1.00, netp 0.5359, onep 0.5193, zerop 0.4807, randp 0.5028, kuperinp 0.5028, sxs 0
182. netqlty 1.00, netp 0.5330, onep 0.5220, zerop 0.4780, randp 0.5000, kuperinp 0.5000, sxs 0
183. netqlty 1.00, netp 0.5301, onep 0.5191, zerop 0.4809, randp 0.5027, kuperinp 0.4973, sxs 0
184. netqlty 1.00, netp 0.5272, onep 0.5217, zerop 0.4783, randp 0.5000, kuperinp 0.4946, sxs 0
185. netqlty 1.00, netp 0.5297, onep 0.5189, zerop 0.4811, randp 0.5027, kuperinp 0.4919, sxs 1
186. netqlty 1.00, netp 0.5269, onep 0.5215, zerop 0.4785, randp 0.5000, kuperinp 0.4892, sxs 0
187. netqlty 1.00, netp 0.5294, onep 0.5187, zerop 0.4813, randp 0.5027, kuperinp 0.4866, sxs 1
188. netqlty 1.00, netp 0.5319, onep 0.5213, zerop 0.4787, randp 0.5000, kuperinp 0.4840, sxs 1
189. netqlty 1.00, netp 0.5291, onep 0.5238, zerop 0.4762, randp 0.4974, kuperinp 0.4868, sxs 0
190. netqlty 1.00, netp 0.5316, onep 0.5263, zerop 0.4737, randp 0.5000, kuperinp 0.4895, sxs 1
191. netqlty 1.00, netp 0.5288, onep 0.5236, zerop 0.4764, randp 0.4974, kuperinp 0.4869, sxs 0
192. netqlty 1.00, netp 0.5260, onep 0.5208, zerop 0.4792, randp 0.5000, kuperinp 0.4896, sxs 0
193. netqlty 1.00, netp 0.5285, onep 0.5181, zerop 0.4819, randp 0.4974, kuperinp 0.4922, sxs 1
194. netqlty 1.00, netp 0.5258, onep 0.5206, zerop 0.4794, randp 0.4948, kuperinp 0.4897, sxs 0
195. netqlty 1.00, netp 0.5231, onep 0.5179, zerop 0.4821, randp 0.4974, kuperinp 0.4872, sxs 0
196. netqlty 1.00, netp 0.5204, onep 0.5153, zerop 0.4847, randp 0.4949, kuperinp 0.4898, sxs 0
197. netqlty 1.00, netp 0.5178, onep 0.5178, zerop 0.4822, randp 0.4924, kuperinp 0.4873, sxs 0
198. netqlty 1.00, netp 0.5152, onep 0.5152, zerop 0.4848, randp 0.4899, kuperinp 0.4848, sxs 0
199. netqlty 1.00, netp 0.5176, onep 0.5126, zerop 0.4874, randp 0.4874, kuperinp 0.4874, sxs 1
200. netqlty 1.00, netp 0.5150, onep 0.5100, zerop 0.4900, randp 0.4900, kuperinp 0.4900, sxs 0
201. netqlty 1.00, netp 0.5124, onep 0.5124, zerop 0.4876, randp 0.4876, kuperinp 0.4876, sxs 0
202. netqlty 1.00, netp 0.5149, onep 0.5099, zerop 0.4901, randp 0.4901, kuperinp 0.4851, sxs 1
203. netqlty 1.00, netp 0.5172, onep 0.5074, zerop 0.4926, randp 0.4877, kuperinp 0.4877, sxs 1
204. netqlty 1.00, netp 0.5147, onep 0.5098, zerop 0.4902, randp 0.4853, kuperinp 0.4853, sxs 0
205. netqlty 1.00, netp 0.5122, onep 0.5122, zerop 0.4878, randp 0.4878, kuperinp 0.4878, sxs 0
206. netqlty 1.00, netp 0.5146, onep 0.5097, zerop 0.4903, randp 0.4854, kuperinp 0.4854, sxs 1
207. netqlty 1.00, netp 0.5169, onep 0.5121, zerop 0.4879, randp 0.4879, kuperinp 0.4831, sxs 1
208. netqlty 1.00, netp 0.5144, onep 0.5144, zerop 0.4856, randp 0.4904, kuperinp 0.4856, sxs 0
