9.25. act -1, pred -1, sxs 1, qlty 6
9.26. act -1, pred 1, sxs 0, qlty 6
9.27. act -1, pred 1, sxs 0, qlty 6
9.28. act -1, pred 1, sxs 0, qlty 6
9.29. act -1, pred 1, sxs 0, qlty 4
9.30. act -1, pred 1, sxs 0, qlty 4
9.31. act -1, pred 1, sxs 0, qlty 4
10.1. act -1, pred 1, sxs 0, qlty 6
10.2. act -1, pred 1, sxs 0, qlty 8
10.3. act -1, pred -1, sxs 1, qlty 8
10.4. act -1, pred 1, sxs 0, qlty 6
10.5. act -1, pred 1, sxs 0, qlty 6
10.6. act -1, pred 1, sxs 0, qlty 6
10.7. act -1, pred 1, sxs 0, qlty 8
10.8. act -1, pred 1, sxs 0, qlty 8
10.9. act -1, pred -1, sxs 1, qlty 6
10.10. act -1, pred -1, sxs 1, qlty 6
10.11. act -1, pred -1, sxs 1, qlty 6
10.12. act -1, pred -1, sxs 1, qlty 8
10.13. act -1, pred 1, sxs 0, qlty 8
10.14. act -1, pred -1, sxs 1, qlty 6
10.15. act -1, pred 1, sxs 0, qlty 6
10.16. act -1, pred -1, sxs 1, qlty 6
10.17. act -1, pred 1, sxs 0, qlty 8
10.18. act -1, pred -1, sxs 1, qlty 6
10.19. act -1, pred 1, sxs 0, qlty 6
10.20. act -1, pred -1, sxs 1, qlty 8
10.21. act -1, pred 1, sxs 0, qlty 8
10.22. act -1, pred 1, sxs 0, qlty 8
10.23. act -1, pred 1, sxs 0, qlty 6
10.24. act -1, pred 1, sxs 0, qlty 6
10.25. act -1, pred -1, sxs 1, qlty 10
10.26. act -1, pred -1, sxs 1, qlty 6
10.27. act -1, pred 1, sxs 0, qlty 8
10.28. act -1, pred -1, sxs 1, qlty 6
10.29. act -1, pred 1, sxs 0, qlty 8
10.30. act -1, pred 1, sxs 0, qlty 4
10.31. act -1, pred -1, sxs 1, qlty 6
11.1. act 1, pred 1, sxs 1, qlty 8
11.2. act 1, pred -1, sxs 0, qlty 6
11.3. act 1, pred 1, sxs 1, qlty 10
11.4. act 1, pred -1, sxs 0, qlty 6
11.5. act 1, pred -1, sxs 0, qlty 8
11.6. act 1, pred 1, sxs 1, qlty 6
11.7. act 1, pred 1, sxs 1, qlty 8
11.8. act 1, pred -1, sxs 0, qlty 6
11.9. act 1, pred 1, sxs 1, qlty 6
11.10. act 1, pred -1, sxs 0, qlty 6
11.11. act 1, pred 1, sxs 1, qlty 6
11.12. act 1, pred 1, sxs 1, qlty 6
11.13. act 1, pred 1, sxs 1, qlty 8
11.14. act 1, pred -1, sxs 0, qlty 6
11.15. act 1, pred 1, sxs 1, qlty 8
11.16. act 1, pred 1, sxs 1, qlty 8
11.17. act 1, pred -1, sxs 0, qlty 4
11.18. act 1, pred 1, sxs 1, qlty 8
11.19. act 1, pred 1, sxs 1, qlty 6
11.20. act 1, pred 1, sxs 1, qlty 8
11.21. act 1, pred 1, sxs 1, qlty 8
11.22. act 1, pred -1, sxs 0, qlty 6
11.23. act 1, pred -1, sxs 0, qlty 8
11.24. act 1, pred -1, sxs 0, qlty 6
11.25. act 1, pred -1, sxs 0, qlty 6
11.26. act 1, pred -1, sxs 0, qlty 8
11.27. act 1, pred -1, sxs 0, qlty 8
11.28. act 1, pred -1, sxs 0, qlty 8
11.29. act 1, pred -1, sxs 0, qlty 6
11.30. act 1, pred -1, sxs 0, qlty 8
11.31. act 1, pred -1, sxs 0, qlty 6
12.1. act -1, pred 1, sxs 0, qlty 8
12.2. act -1, pred -1, sxs 1, qlty 6
12.3. act -1, pred 1, sxs 0, qlty 8
12.4. act -1, pred -1, sxs 1, qlty 6
12.5. act -1, pred 1, sxs 0, qlty 6
12.6. act -1, pred 1, sxs 0, qlty 6
12.7. act -1, pred -1, sxs 1, qlty 8
12.8. act -1, pred -1, sxs 1, qlty 6
12.9. act -1, pred -1, sxs 1, qlty 12
12.10. act -1, pred -1, sxs 1, qlty 6
12.11. act -1, pred -1, sxs 1, qlty 6
12.12. act -1, pred -1, sxs 1, qlty 8
12.13. act -1, pred 1, sxs 0, qlty 6
12.14. act -1, pred 1, sxs 0, qlty 8
12.15. act -1, pred 1, sxs 0, qlty 6
12.16. act -1, pred 1, sxs 0, qlty 6
12.17. act -1, pred -1, sxs 1, qlty 10
12.18. act -1, pred -1, sxs 1, qlty 8
12.19. act -1, pred -1, sxs 1, qlty 8
12.20. act -1, pred -1, sxs 1, qlty 6
12.21. act -1, pred 1, sxs 0, qlty 6
12.22. act -1, pred -1, sxs 1, qlty 10
12.23. act -1, pred 1, sxs 0, qlty 8
12.24. act -1, pred -1, sxs 1, qlty 8
12.25. act -1, pred 1, sxs 0, qlty 10
12.26. act -1, pred 1, sxs 0, qlty 8
12.27. act -1, pred -1, sxs 1, qlty 6
12.28. act -1, pred 1, sxs 0, qlty 6
12.29. act -1, pred -1, sxs 1, qlty 8
12.30. act -1, pred -1, sxs 1, qlty 8
12.31. act -1, pred -1, sxs 1, qlty 8
13.1. act 1, pred -1, sxs 0, qlty 6
13.2. act 1, pred -1, sxs 0, qlty 8
13.3. act 1, pred -1, sxs 0, qlty 8
13.4. act 1, pred -1, sxs 0, qlty 8
13.5. act 1, pred 1, sxs 1, qlty 6
13.6. act 1, pred -1, sxs 0, qlty 8
13.7. act 1, pred -1, sxs 0, qlty 6
13.8. act 1, pred -1, sxs 0, qlty 10
13.9. act 1, pred -1, sxs 0, qlty 10
13.10. act 1, pred -1, sxs 0, qlty 6
13.11. act 1, pred 1, sxs 1, qlty 8
13.12. act 1, pred -1, sxs 0, qlty 8
13.13. act 1, pred -1, sxs 0, qlty 8
