6.16. act -1, pred -1, sxs 1, qlty 62
6.17. act -1, pred -1, sxs 1, qlty 52
6.18. act -1, pred -1, sxs 1, qlty 60
6.19. act -1, pred -1, sxs 1, qlty 64
6.20. act -1, pred -1, sxs 1, qlty 64
6.21. act -1, pred -1, sxs 1, qlty 58
6.22. act -1, pred -1, sxs 1, qlty 58
6.23. act -1, pred -1, sxs 1, qlty 64
6.24. act -1, pred -1, sxs 1, qlty 58
6.25. act -1, pred -1, sxs 1, qlty 60
6.26. act -1, pred -1, sxs 1, qlty 62
6.27. act -1, pred -1, sxs 1, qlty 58
6.28. act -1, pred -1, sxs 1, qlty 60
6.29. act -1, pred 1, sxs 0, qlty 60
6.30. act -1, pred -1, sxs 1, qlty 62
6.31. act -1, pred -1, sxs 1, qlty 58
7.1. act 1, pred 1, sxs 1, qlty 58
7.2. act 1, pred -1, sxs 0, qlty 60
7.3. act 1, pred -1, sxs 0, qlty 62
7.4. act 1, pred 1, sxs 1, qlty 62
7.5. act 1, pred 1, sxs 1, qlty 58
7.6. act 1, pred 1, sxs 1, qlty 58
7.7. act 1, pred -1, sxs 0, qlty 66
7.8. act 1, pred 1, sxs 1, qlty 58
7.9. act 1, pred 1, sxs 1, qlty 62
7.10. act 1, pred -1, sxs 0, qlty 60
7.11. act 1, pred 1, sxs 1, qlty 56
7.12. act 1, pred 1, sxs 1, qlty 56
7.13. act 1, pred 1, sxs 1, qlty 60
7.14. act 1, pred 1, sxs 1, qlty 60
7.15. act 1, pred -1, sxs 0, qlty 58
7.16. act 1, pred 1, sxs 1, qlty 66
7.17. act 1, pred 1, sxs 1, qlty 62
7.18. act 1, pred 1, sxs 1, qlty 58
7.19. act 1, pred 1, sxs 1, qlty 56
7.20. act 1, pred 1, sxs 1, qlty 56
7.21. act 1, pred 1, sxs 1, qlty 54
7.22. act 1, pred -1, sxs 0, qlty 60
7.23. act 1, pred 1, sxs 1, qlty 54
7.24. act 1, pred 1, sxs 1, qlty 60
7.25. act 1, pred 1, sxs 1, qlty 58
7.26. act 1, pred 1, sxs 1, qlty 58
7.27. act 1, pred 1, sxs 1, qlty 64
7.28. act 1, pred 1, sxs 1, qlty 62
7.29. act 1, pred 1, sxs 1, qlty 58
7.30. act 1, pred 1, sxs 1, qlty 60
7.31. act 1, pred 1, sxs 1, qlty 60
8.1. act 1, pred -1, sxs 0, qlty 56
8.2. act 1, pred -1, sxs 0, qlty 56
8.3. act 1, pred -1, sxs 0, qlty 62
8.4. act 1, pred -1, sxs 0, qlty 60
8.5. act 1, pred -1, sxs 0, qlty 58
8.6. act 1, pred -1, sxs 0, qlty 60
8.7. act 1, pred -1, sxs 0, qlty 52
8.8. act 1, pred 1, sxs 1, qlty 58
8.9. act 1, pred -1, sxs 0, qlty 62
8.10. act 1, pred -1, sxs 0, qlty 62
8.11. act 1, pred -1, sxs 0, qlty 60
8.12. act 1, pred -1, sxs 0, qlty 52
8.13. act 1, pred -1, sxs 0, qlty 56
8.14. act 1, pred -1, sxs 0, qlty 56
8.15. act 1, pred -1, sxs 0, qlty 58
8.16. act 1, pred -1, sxs 0, qlty 56
8.17. act 1, pred -1, sxs 0, qlty 56
8.18. act 1, pred -1, sxs 0, qlty 58
8.19. act 1, pred -1, sxs 0, qlty 56
8.20. act 1, pred -1, sxs 0, qlty 60
8.21. act 1, pred -1, sxs 0, qlty 58
8.22. act 1, pred -1, sxs 0, qlty 58
8.23. act 1, pred -1, sxs 0, qlty 62
8.24. act 1, pred -1, sxs 0, qlty 58
8.25. act 1, pred -1, sxs 0, qlty 60
8.26. act 1, pred -1, sxs 0, qlty 60
8.27. act 1, pred -1, sxs 0, qlty 58
8.28. act 1, pred -1, sxs 0, qlty 50
8.29. act 1, pred -1, sxs 0, qlty 58
8.30. act 1, pred -1, sxs 0, qlty 62
8.31. act 1, pred -1, sxs 0, qlty 58
9.1. act -1, pred -1, sxs 1, qlty 58
9.2. act -1, pred -1, sxs 1, qlty 58
9.3. act -1, pred 1, sxs 0, qlty 68
9.4. act -1, pred 1, sxs 0, qlty 56
9.5. act -1, pred -1, sxs 1, qlty 60
9.6. act -1, pred 1, sxs 0, qlty 58
9.7. act -1, pred -1, sxs 1, qlty 58
9.8. act -1, pred 1, sxs 0, qlty 60
9.9. act -1, pred -1, sxs 1, qlty 54
9.10. act -1, pred 1, sxs 0, qlty 62
9.11. act -1, pred -1, sxs 1, qlty 62
9.12. act -1, pred 1, sxs 0, qlty 58
9.13. act -1, pred 1, sxs 0, qlty 60
9.14. act -1, pred 1, sxs 0, qlty 56
9.15. act -1, pred -1, sxs 1, qlty 56
