1.1. act 1, pred -1, sxs 0, qlty 2
37.2. act -1, pred -1, sxs 1, qlty 0
37.3. act -1, pred -1, sxs 1, qlty 0
37.4. act -1, pred -1, sxs 1, qlty 0
37.5. act -1, pred -1, sxs 1, qlty 0
37.6. act -1, pred -1, sxs 1, qlty 0
37.7. act -1, pred -1, sxs 1, qlty 0
37.8. act -1, pred -1, sxs 1, qlty 0
37.9. act -1, pred -1, sxs 1, qlty 0
37.10. act -1, pred 1, sxs 0, qlty 2
37.11. act -1, pred -1, sxs 1, qlty 0
37.12. act -1, pred -1, sxs 1, qlty 0
37.13. act -1, pred -1, sxs 1, qlty 0
37.14. act -1, pred -1, sxs 1, qlty 0
37.15. act -1, pred -1, sxs 1, qlty 0
37.16. act -1, pred -1, sxs 1, qlty 0
37.17. act -1, pred 1, sxs 0, qlty 2
37.18. act -1, pred -1, sxs 1, qlty 2
37.19. act -1, pred -1, sxs 1, qlty 0
37.20. act -1, pred -1, sxs 1, qlty 0
37.21. act -1, pred -1, sxs 1, qlty 2
37.22. act -1, pred -1, sxs 1, qlty 0
37.23. act -1, pred 1, sxs 0, qlty 2
37.24. act -1, pred -1, sxs 1, qlty 0
37.25. act -1, pred -1, sxs 1, qlty 0
37.26. act -1, pred -1, sxs 1, qlty 0
37.27. act -1, pred 1, sxs 0, qlty 2
37.28. act -1, pred -1, sxs 1, qlty 0
37.29. act -1, pred -1, sxs 1, qlty 0
37.30. act -1, pred 1, sxs 0, qlty 2
37.31. act -1, pred -1, sxs 1, qlty 0
38.1. act 1, pred -1, sxs 0, qlty 2
38.2. act 1, pred -1, sxs 0, qlty 2
38.3. act 1, pred -1, sxs 0, qlty 2
38.4. act 1, pred -1, sxs 0, qlty 2
38.5. act 1, pred -1, sxs 0, qlty 2
38.6. act 1, pred -1, sxs 0, qlty 4
38.7. act 1, pred -1, sxs 0, qlty 2
38.8. act 1, pred -1, sxs 0, qlty 2
38.9. act 1, pred -1, sxs 0, qlty 2
38.10. act 1, pred -1, sxs 0, qlty 4
38.11. act 1, pred -1, sxs 0, qlty 2
38.12. act 1, pred -1, sxs 0, qlty 2
38.13. act 1, pred -1, sxs 0, qlty 2
38.14. act 1, pred -1, sxs 0, qlty 2
38.15. act 1, pred -1, sxs 0, qlty 2
38.16. act 1, pred -1, sxs 0, qlty 2
38.17. act 1, pred -1, sxs 0, qlty 2
38.18. act 1, pred -1, sxs 0, qlty 2
38.19. act 1, pred -1, sxs 0, qlty 2
38.20. act 1, pred -1, sxs 0, qlty 2
38.21. act 1, pred -1, sxs 0, qlty 2
38.22. act 1, pred -1, sxs 0, qlty 2
38.23. act 1, pred -1, sxs 0, qlty 4
38.24. act 1, pred 1, sxs 1, qlty 0
38.25. act 1, pred -1, sxs 0, qlty 2
38.26. act 1, pred 1, sxs 1, qlty 0
38.27. act 1, pred -1, sxs 0, qlty 2
38.28. act 1, pred -1, sxs 0, qlty 2
38.29. act 1, pred -1, sxs 0, qlty 2
38.30. act 1, pred -1, sxs 0, qlty 2
38.31. act 1, pred -1, sxs 0, qlty 2
39.1. act 1, pred -1, sxs 0, qlty 2
39.2. act 1, pred -1, sxs 0, qlty 2
39.3. act 1, pred -1, sxs 0, qlty 2
39.4. act 1, pred 1, sxs 1, qlty 2
39.5. act 1, pred -1, sxs 0, qlty 2
39.6. act 1, pred -1, sxs 0, qlty 4
39.7. act 1, pred -1, sxs 0, qlty 2
39.8. act 1, pred -1, sxs 0, qlty 2
39.9. act 1, pred -1, sxs 0, qlty 2
39.10. act 1, pred 1, sxs 1, qlty 0
39.11. act 1, pred -1, sxs 0, qlty 4
39.12. act 1, pred -1, sxs 0, qlty 2
39.13. act 1, pred 1, sxs 1, qlty 0
39.14. act 1, pred -1, sxs 0, qlty 2
39.15. act 1, pred -1, sxs 0, qlty 2
39.16. act 1, pred -1, sxs 0, qlty 2
39.17. act 1, pred -1, sxs 0, qlty 2
39.18. act 1, pred -1, sxs 0, qlty 2
39.19. act 1, pred -1, sxs 0, qlty 2
39.20. act 1, pred -1, sxs 0, qlty 2
39.21. act 1, pred -1, sxs 0, qlty 2
39.22. act 1, pred -1, sxs 0, qlty 2
39.23. act 1, pred -1, sxs 0, qlty 2
39.24. act 1, pred -1, sxs 0, qlty 2
39.25. act 1, pred -1, sxs 0, qlty 2
39.26. act 1, pred -1, sxs 0, qlty 2
39.27. act 1, pred -1, sxs 0, qlty 2
39.28. act 1, pred 1, sxs 1, qlty 2
39.29. act 1, pred -1, sxs 0, qlty 2
39.30. act 1, pred -1, sxs 0, qlty 2
39.31. act 1, pred -1, sxs 0, qlty 2
40.1. act -1, pred -1, sxs 1, qlty 0
40.2. act -1, pred -1, sxs 1, qlty 0
40.3. act -1, pred -1, sxs 1, qlty 0
40.4. act -1, pred 1, sxs 0, qlty 2
40.5. act -1, pred -1, sxs 1, qlty 2
40.6. act -1, pred 1, sxs 0, qlty 4
40.7. act -1, pred -1, sxs 1, qlty 2
40.8. act -1, pred -1, sxs 1, qlty 0
40.9. act -1, pred 1, sxs 0, qlty 4
40.10. act -1, pred -1, sxs 1, qlty 0
40.11. act -1, pred -1, sxs 1, qlty 0
40.12. act -1, pred -1, sxs 1, qlty 0
40.13. act -1, pred -1, sxs 1, qlty 0
40.14. act -1, pred 1, sxs 0, qlty 4
40.15. act -1, pred 1, sxs 0, qlty 4
40.16. act -1, pred 1, sxs 0, qlty 2
40.17. act -1, pred -1, sxs 1, qlty 0
40.18. act -1, pred 1, sxs 0, qlty 2
40.19. act -1, pred 1, sxs 0, qlty 4
40.20. act -1, pred -1, sxs 1, qlty 0
40.21. act -1, pred -1, sxs 1, qlty 0
40.22. act -1, pred -1, sxs 1, qlty 0
40.23. act -1, pred 1, sxs 0, qlty 4
40.24. act -1, pred 1, sxs 0, qlty 2
40.25. act -1, pred -1, sxs 1, qlty 0
40.26. act -1, pred -1, sxs 1, qlty 0
40.27. act -1, pred 1, sxs 0, qlty 2
40.28. act -1, pred -1, sxs 1, qlty 0
40.29. act -1, pred -1, sxs 1, qlty 0
40.30. act -1, pred -1, sxs 1, qlty 0
40.31. act -1, pred -1, sxs 1, qlty 0
41.1. act -1, pred -1, sxs 1, qlty 0
41.2. act -1, pred -1, sxs 1, qlty 0
41.3. act -1, pred -1, sxs 1, qlty 0
41.4. act -1, pred -1, sxs 1, qlty 2
41.5. act -1, pred -1, sxs 1, qlty 2
41.6. act -1, pred -1, sxs 1, qlty 0
41.7. act -1, pred -1, sxs 1, qlty 0
41.8. act -1, pred -1, sxs 1, qlty 0
41.9. act -1, pred -1, sxs 1, qlty 0
41.10. act -1, pred -1, sxs 1, qlty 0
41.11. act -1, pred -1, sxs 1, qlty 0
41.12. act -1, pred 1, sxs 0, qlty 2
41.13. act -1, pred -1, sxs 1, qlty 0
41.14. act -1, pred -1, sxs 1, qlty 0
41.15. act -1, pred -1, sxs 1, qlty 0
41.16. act -1, pred 1, sxs 0, qlty 2
41.17. act -1, pred 1, sxs 0, qlty 2
41.18. act -1, pred -1, sxs 1, qlty 0
41.19. act -1, pred 1, sxs 0, qlty 2
41.20. act -1, pred -1, sxs 1, qlty 0
41.21. act -1, pred -1, sxs 1, qlty 0
41.22. act -1, pred -1, sxs 1, qlty 0
41.23. act -1, pred -1, sxs 1, qlty 0
41.24. act -1, pred -1, sxs 1, qlty 0
41.25. act -1, pred -1, sxs 1, qlty 0
41.26. act -1, pred -1, sxs 1, qlty 0
41.27. act -1, pred -1, sxs 1, qlty 0
41.28. act -1, pred -1, sxs 1, qlty 0
41.29. act -1, pred -1, sxs 1, qlty 0
41.30. act -1, pred -1, sxs 1, qlty 0
41.31. act -1, pred 1, sxs 0, qlty 4
42.1. act -1, pred 1, sxs 0, qlty 2
42.2. act -1, pred 1, sxs 0, qlty 2
42.3. act -1, pred 1, sxs 0, qlty 2
42.4. act -1, pred -1, sxs 1, qlty 0
42.5. act -1, pred 1, sxs 0, qlty 2
42.6. act -1, pred 1, sxs 0, qlty 2
42.7. act -1, pred 1, sxs 0, qlty 2
42.8. act -1, pred 1, sxs 0, qlty 2
42.9. act -1, pred 1, sxs 0, qlty 2
42.10. act -1, pred 1, sxs 0, qlty 2
42.11. act -1, pred 1, sxs 0, qlty 2
42.12. act -1, pred 1, sxs 0, qlty 2
42.13. act -1, pred -1, sxs 1, qlty 2
42.14. act -1, pred 1, sxs 0, qlty 2
42.15. act -1, pred 1, sxs 0, qlty 2
42.16. act -1, pred 1, sxs 0, qlty 2
42.17. act -1, pred -1, sxs 1, qlty 0
42.18. act -1, pred 1, sxs 0, qlty 2
42.19. act -1, pred 1, sxs 0, qlty 2
42.20. act -1, pred 1, sxs 0, qlty 2
42.21. act -1, pred 1, sxs 0, qlty 2
42.22. act -1, pred 1, sxs 0, qlty 2
42.23. act -1, pred 1, sxs 0, qlty 2
42.24. act -1, pred 1, sxs 0, qlty 2
42.25. act -1, pred -1, sxs 1, qlty 0
42.26. act -1, pred 1, sxs 0, qlty 2
42.27. act -1, pred 1, sxs 0, qlty 2
42.28. act -1, pred 1, sxs 0, qlty 2
42.29. act -1, pred 1, sxs 0, qlty 2
42.30. act -1, pred -1, sxs 1, qlty 0
42.31. act -1, pred 1, sxs 0, qlty 2
43.1. act 1, pred 1, sxs 1, qlty 0
43.2. act 1, pred -1, sxs 0, qlty 2
43.3. act 1, pred 1, sxs 1, qlty 0
43.4. act 1, pred -1, sxs 0, qlty 4
43.5. act 1, pred 1, sxs 1, qlty 0
43.6. act 1, pred -1, sxs 0, qlty 2
43.7. act 1, pred 1, sxs 1, qlty 0
43.8. act 1, pred -1, sxs 0, qlty 2
43.9. act 1, pred 1, sxs 1, qlty 0
43.10. act 1, pred 1, sxs 1, qlty 0
43.11. act 1, pred 1, sxs 1, qlty 0
43.12. act 1, pred -1, sxs 0, qlty 2
43.13. act 1, pred 1, sxs 1, qlty 0
43.14. act 1, pred 1, sxs 1, qlty 0
43.15. act 1, pred -1, sxs 0, qlty 4
43.16. act 1, pred 1, sxs 1, qlty 0
43.17. act 1, pred 1, sxs 1, qlty 0
43.18. act 1, pred 1, sxs 1, qlty 0
43.19. act 1, pred -1, sxs 0, qlty 2
43.20. act 1, pred -1, sxs 0, qlty 2
43.21. act 1, pred -1, sxs 0, qlty 2
43.22. act 1, pred 1, sxs 1, qlty 0
43.23. act 1, pred 1, sxs 1, qlty 0
43.24. act 1, pred 1, sxs 1, qlty 0
43.25. act 1, pred 1, sxs 1, qlty 0
43.26. act 1, pred 1, sxs 1, qlty 0
43.27. act 1, pred -1, sxs 0, qlty 2
43.28. act 1, pred 1, sxs 1, qlty 0
43.29. act 1, pred -1, sxs 0, qlty 2
43.30. act 1, pred 1, sxs 1, qlty 0
43.31. act 1, pred -1, sxs 0, qlty 2
44.1. act 1, pred 1, sxs 1, qlty 0
44.2. act 1, pred 1, sxs 1, qlty 0
44.3. act 1, pred -1, sxs 0, qlty 2
44.4. act 1, pred 1, sxs 1, qlty 0
44.5. act 1, pred 1, sxs 1, qlty 0
44.6. act 1, pred 1, sxs 1, qlty 0
44.7. act 1, pred 1, sxs 1, qlty 0
44.8. act 1, pred -1, sxs 0, qlty 2
44.9. act 1, pred -1, sxs 0, qlty 2
44.10. act 1, pred -1, sxs 0, qlty 2
44.11. act 1, pred -1, sxs 0, qlty 4
44.12. act 1, pred 1, sxs 1, qlty 0
44.13. act 1, pred 1, sxs 1, qlty 0
44.14. act 1, pred 1, sxs 1, qlty 0
44.15. act 1, pred -1, sxs 0, qlty 2
44.16. act 1, pred 1, sxs 1, qlty 0
44.17. act 1, pred -1, sxs 0, qlty 2
44.18. act 1, pred 1, sxs 1, qlty 0
44.19. act 1, pred -1, sxs 0, qlty 2
44.20. act 1, pred 1, sxs 1, qlty 0
44.21. act 1, pred -1, sxs 0, qlty 2
44.22. act 1, pred -1, sxs 0, qlty 2
44.23. act 1, pred -1, sxs 0, qlty 2
44.24. act 1, pred 1, sxs 1, qlty 0
44.25. act 1, pred 1, sxs 1, qlty 2
44.26. act 1, pred 1, sxs 1, qlty 0
44.27. act 1, pred -1, sxs 0, qlty 2
44.28. act 1, pred 1, sxs 1, qlty 0
44.29. act 1, pred -1, sxs 0, qlty 2
44.30. act 1, pred -1, sxs 0, qlty 2
44.31. act 1, pred 1, sxs 1, qlty 0
45.1. act -1, pred -1, sxs 1, qlty 0
45.2. act -1, pred -1, sxs 1, qlty 0
45.3. act -1, pred -1, sxs 1, qlty 0
45.4. act -1, pred -1, sxs 1, qlty 0
45.5. act -1, pred -1, sxs 1, qlty 0
45.6. act -1, pred -1, sxs 1, qlty 0
45.7. act -1, pred -1, sxs 1, qlty 0
45.8. act -1, pred -1, sxs 1, qlty 0
45.9. act -1, pred -1, sxs 1, qlty 0
45.10. act -1, pred -1, sxs 1, qlty 0
45.11. act -1, pred -1, sxs 1, qlty 0
45.12. act -1, pred -1, sxs 1, qlty 0
45.13. act -1, pred -1, sxs 1, qlty 0
45.14. act -1, pred -1, sxs 1, qlty 0
45.15. act -1, pred -1, sxs 1, qlty 0
45.16. act -1, pred -1, sxs 1, qlty 0
45.17. act -1, pred -1, sxs 1, qlty 0
45.18. act -1, pred -1, sxs 1, qlty 0
45.19. act -1, pred -1, sxs 1, qlty 0
45.20. act -1, pred -1, sxs 1, qlty 0
45.21. act -1, pred -1, sxs 1, qlty 0
45.22. act -1, pred -1, sxs 1, qlty 0
45.23. act -1, pred -1, sxs 1, qlty 0
45.24. act -1, pred -1, sxs 1, qlty 0
45.25. act -1, pred -1, sxs 1, qlty 0
45.26. act -1, pred -1, sxs 1, qlty 0
45.27. act -1, pred -1, sxs 1, qlty 0
45.28. act -1, pred -1, sxs 1, qlty 0
45.29. act -1, pred -1, sxs 1, qlty 0
45.30. act -1, pred -1, sxs 1, qlty 0
45.31. act -1, pred -1, sxs 1, qlty 0
46.1. act -1, pred -1, sxs 1, qlty 0
46.2. act -1, pred -1, sxs 1, qlty 0
46.3. act -1, pred -1, sxs 1, qlty 0
46.4. act -1, pred -1, sxs 1, qlty 0
46.5. act -1, pred -1, sxs 1, qlty 0
46.6. act -1, pred -1, sxs 1, qlty 0
46.7. act -1, pred -1, sxs 1, qlty 0
46.8. act -1, pred -1, sxs 1, qlty 0
46.9. act -1, pred -1, sxs 1, qlty 0
46.10. act -1, pred -1, sxs 1, qlty 0
46.11. act -1, pred -1, sxs 1, qlty 0
46.12. act -1, pred -1, sxs 1, qlty 0
46.13. act -1, pred -1, sxs 1, qlty 0
46.14. act -1, pred -1, sxs 1, qlty 0
46.15. act -1, pred -1, sxs 1, qlty 0
46.16. act -1, pred -1, sxs 1, qlty 0
46.17. act -1, pred -1, sxs 1, qlty 0
46.18. act -1, pred -1, sxs 1, qlty 0
46.19. act -1, pred -1, sxs 1, qlty 0
46.20. act -1, pred -1, sxs 1, qlty 0
46.21. act -1, pred -1, sxs 1, qlty 0
46.22. act -1, pred -1, sxs 1, qlty 0
46.23. act -1, pred -1, sxs 1, qlty 0
46.24. act -1, pred -1, sxs 1, qlty 0
46.25. act -1, pred -1, sxs 1, qlty 0
46.26. act -1, pred -1, sxs 1, qlty 0
46.27. act -1, pred -1, sxs 1, qlty 0
46.28. act -1, pred -1, sxs 1, qlty 0
46.29. act -1, pred -1, sxs 1, qlty 0
46.30. act -1, pred -1, sxs 1, qlty 0
46.31. act -1, pred -1, sxs 1, qlty 0
47.1. act -1, pred -1, sxs 1, qlty 0
47.2. act -1, pred 1, sxs 0, qlty 2
47.3. act -1, pred -1, sxs 1, qlty 0
47.4. act -1, pred -1, sxs 1, qlty 0
47.5. act -1, pred -1, sxs 1, qlty 0
47.6. act -1, pred -1, sxs 1, qlty 0
47.7. act -1, pred -1, sxs 1, qlty 0
47.8. act -1, pred -1, sxs 1, qlty 0
47.9. act -1, pred -1, sxs 1, qlty 0
47.10. act -1, pred -1, sxs 1, qlty 0
47.11. act -1, pred -1, sxs 1, qlty 0
47.12. act -1, pred -1, sxs 1, qlty 0
47.13. act -1, pred -1, sxs 1, qlty 0
47.14. act -1, pred -1, sxs 1, qlty 0
47.15. act -1, pred -1, sxs 1, qlty 0
47.16. act -1, pred -1, sxs 1, qlty 0
47.17. act -1, pred -1, sxs 1, qlty 0
47.18. act -1, pred -1, sxs 1, qlty 0
47.19. act -1, pred -1, sxs 1, qlty 0
47.20. act -1, pred -1, sxs 1, qlty 0
47.21. act -1, pred -1, sxs 1, qlty 0
47.22. act -1, pred -1, sxs 1, qlty 0
47.23. act -1, pred -1, sxs 1, qlty 0
47.24. act -1, pred -1, sxs 1, qlty 0
47.25. act -1, pred -1, sxs 1, qlty 0
47.26. act -1, pred -1, sxs 1, qlty 0
47.27. act -1, pred -1, sxs 1, qlty 0
47.28. act -1, pred -1, sxs 1, qlty 0
47.29. act -1, pred -1, sxs 1, qlty 0
47.30. act -1, pred -1, sxs 1, qlty 0
47.31. act -1, pred -1, sxs 1, qlty 0
48.1. act 1, pred 1, sxs 1, qlty 0
48.2. act 1, pred 1, sxs 1, qlty 0
48.3. act 1, pred 1, sxs 1, qlty 0
48.4. act 1, pred 1, sxs 1, qlty 0
48.5. act 1, pred 1, sxs 1, qlty 0
48.6. act 1, pred 1, sxs 1, qlty 0
48.7. act 1, pred 1, sxs 1, qlty 0
48.8. act 1, pred 1, sxs 1, qlty 0
48.9. act 1, pred 1, sxs 1, qlty 0
48.10. act 1, pred 1, sxs 1, qlty 0
48.11. act 1, pred 1, sxs 1, qlty 0
48.12. act 1, pred 1, sxs 1, qlty 0
48.13. act 1, pred 1, sxs 1, qlty 0
48.14. act 1, pred 1, sxs 1, qlty 0
48.15. act 1, pred 1, sxs 1, qlty 0
48.16. act 1, pred 1, sxs 1, qlty 0
48.17. act 1, pred 1, sxs 1, qlty 0
48.18. act 1, pred -1, sxs 0, qlty 2
48.19. act 1, pred 1, sxs 1, qlty 0
48.20. act 1, pred 1, sxs 1, qlty 0
48.21. act 1, pred 1, sxs 1, qlty 0
48.22. act 1, pred -1, sxs 0, qlty 2
48.23. act 1, pred 1, sxs 1, qlty 0
48.24. act 1, pred 1, sxs 1, qlty 0
48.25. act 1, pred 1, sxs 1, qlty 0
48.26. act 1, pred 1, sxs 1, qlty 0
48.27. act 1, pred 1, sxs 1, qlty 0
48.28. act 1, pred 1, sxs 1, qlty 0
48.29. act 1, pred 1, sxs 1, qlty 0
48.30. act 1, pred 1, sxs 1, qlty 0
48.31. act 1, pred 1, sxs 1, qlty 0
49.1. act 1, pred 1, sxs 1, qlty 0
49.2. act 1, pred -1, sxs 0, qlty 2
49.3. act 1, pred 1, sxs 1, qlty 0
49.4. act 1, pred 1, sxs 1, qlty 0
49.5. act 1, pred 1, sxs 1, qlty 0
49.6. act 1, pred 1, sxs 1, qlty 0
49.7. act 1, pred 1, sxs 1, qlty 0
49.8. act 1, pred 1, sxs 1, qlty 0
49.9. act 1, pred -1, sxs 0, qlty 2
49.10. act 1, pred 1, sxs 1, qlty 0
49.11. act 1, pred 1, sxs 1, qlty 0
49.12. act 1, pred 1, sxs 1, qlty 0
49.13. act 1, pred 1, sxs 1, qlty 0
49.14. act 1, pred 1, sxs 1, qlty 0
49.15. act 1, pred 1, sxs 1, qlty 0
49.16. act 1, pred 1, sxs 1, qlty 0
49.17. act 1, pred 1, sxs 1, qlty 0
49.18. act 1, pred 1, sxs 1, qlty 0
49.19. act 1, pred 1, sxs 1, qlty 0
49.20. act 1, pred 1, sxs 1, qlty 0
49.21. act 1, pred 1, sxs 1, qlty 0
49.22. act 1, pred 1, sxs 1, qlty 0
49.23. act 1, pred 1, sxs 1, qlty 0
49.24. act 1, pred 1, sxs 1, qlty 0
49.25. act 1, pred 1, sxs 1, qlty 0
49.26. act 1, pred 1, sxs 1, qlty 0
49.27. act 1, pred 1, sxs 1, qlty 0
49.28. act 1, pred 1, sxs 1, qlty 0
49.29. act 1, pred 1, sxs 1, qlty 0
49.30. act 1, pred 1, sxs 1, qlty 0
49.31. act 1, pred 1, sxs 1, qlty 0
50.1. act -1, pred -1, sxs 1, qlty 0
50.2. act -1, pred -1, sxs 1, qlty 0
50.3. act -1, pred -1, sxs 1, qlty 0
50.4. act -1, pred -1, sxs 1, qlty 0
50.5. act -1, pred -1, sxs 1, qlty 0
50.6. act -1, pred 1, sxs 0, qlty 2
50.7. act -1, pred -1, sxs 1, qlty 0
50.8. act -1, pred -1, sxs 1, qlty 0
50.9. act -1, pred -1, sxs 1, qlty 0
50.10. act -1, pred -1, sxs 1, qlty 0
50.11. act -1, pred -1, sxs 1, qlty 0
50.12. act -1, pred -1, sxs 1, qlty 0
50.13. act -1, pred -1, sxs 1, qlty 0
50.14. act -1, pred -1, sxs 1, qlty 0
50.15. act -1, pred -1, sxs 1, qlty 0
50.16. act -1, pred -1, sxs 1, qlty 0
50.17. act -1, pred -1, sxs 1, qlty 0
50.18. act -1, pred -1, sxs 1, qlty 0
50.19. act -1, pred -1, sxs 1, qlty 0
50.20. act -1, pred -1, sxs 1, qlty 0
50.21. act -1, pred -1, sxs 1, qlty 0
50.22. act -1, pred -1, sxs 1, qlty 0
50.23. act -1, pred -1, sxs 1, qlty 0
50.24. act -1, pred -1, sxs 1, qlty 0
50.25. act -1, pred -1, sxs 1, qlty 0
50.26. act -1, pred -1, sxs 1, qlty 0
50.27. act -1, pred -1, sxs 1, qlty 0
50.28. act -1, pred -1, sxs 1, qlty 0
50.29. act -1, pred -1, sxs 1, qlty 0
50.30. act -1, pred -1, sxs 1, qlty 0
50.31. act -1, pred -1, sxs 1, qlty 0
51.1. act 1, pred -1, sxs 0, qlty 2
51.2. act 1, pred -1, sxs 0, qlty 2
51.3. act 1, pred -1, sxs 0, qlty 2
51.4. act 1, pred -1, sxs 0, qlty 2
51.5. act 1, pred -1, sxs 0, qlty 2
51.6. act 1, pred -1, sxs 0, qlty 2
51.7. act 1, pred -1, sxs 0, qlty 2
51.8. act 1, pred -1, sxs 0, qlty 2
51.9. act 1, pred -1, sxs 0, qlty 2
51.10. act 1, pred -1, sxs 0, qlty 2
51.11. act 1, pred -1, sxs 0, qlty 2
51.12. act 1, pred -1, sxs 0, qlty 2
51.13. act 1, pred -1, sxs 0, qlty 2
51.14. act 1, pred -1, sxs 0, qlty 2
51.15. act 1, pred -1, sxs 0, qlty 2
51.16. act 1, pred -1, sxs 0, qlty 2
51.17. act 1, pred -1, sxs 0, qlty 2
51.18. act 1, pred -1, sxs 0, qlty 2
51.19. act 1, pred -1, sxs 0, qlty 2
51.20. act 1, pred -1, sxs 0, qlty 2
51.21. act 1, pred -1, sxs 0, qlty 2
51.22. act 1, pred -1, sxs 0, qlty 2
51.23. act 1, pred -1, sxs 0, qlty 2
51.24. act 1, pred -1, sxs 0, qlty 2
51.25. act 1, pred -1, sxs 0, qlty 2
51.26. act 1, pred -1, sxs 0, qlty 2
51.27. act 1, pred -1, sxs 0, qlty 2
51.28. act 1, pred -1, sxs 0, qlty 2
51.29. act 1, pred -1, sxs 0, qlty 2
51.30. act 1, pred -1, sxs 0, qlty 2
51.31. act 1, pred -1, sxs 0, qlty 2
52.1. act 1, pred -1, sxs 0, qlty 2
52.2. act 1, pred -1, sxs 0, qlty 2
52.3. act 1, pred 1, sxs 1, qlty 0
52.4. act 1, pred -1, sxs 0, qlty 2
52.5. act 1, pred 1, sxs 1, qlty 0
52.6. act 1, pred -1, sxs 0, qlty 4
52.7. act 1, pred 1, sxs 1, qlty 2
52.8. act 1, pred 1, sxs 1, qlty 0
52.9. act 1, pred 1, sxs 1, qlty 0
52.10. act 1, pred -1, sxs 0, qlty 2
52.11. act 1, pred 1, sxs 1, qlty 0
52.12. act 1, pred -1, sxs 0, qlty 2
52.13. act 1, pred -1, sxs 0, qlty 2
52.14. act 1, pred -1, sxs 0, qlty 4
52.15. act 1, pred 1, sxs 1, qlty 2
52.16. act 1, pred -1, sxs 0, qlty 2
52.17. act 1, pred -1, sxs 0, qlty 2
52.18. act 1, pred 1, sxs 1, qlty 0
52.19. act 1, pred 1, sxs 1, qlty 0
52.20. act 1, pred 1, sxs 1, qlty 0
52.21. act 1, pred 1, sxs 1, qlty 0
52.22. act 1, pred 1, sxs 1, qlty 0
52.23. act 1, pred 1, sxs 1, qlty 0
52.24. act 1, pred 1, sxs 1, qlty 0
52.25. act 1, pred 1, sxs 1, qlty 0
52.26. act 1, pred -1, sxs 0, qlty 4
52.27. act 1, pred 1, sxs 1, qlty 0
52.28. act 1, pred 1, sxs 1, qlty 0
52.29. act 1, pred 1, sxs 1, qlty 0
52.30. act 1, pred -1, sxs 0, qlty 2
52.31. act 1, pred 1, sxs 1, qlty 2
53.1. act 1, pred -1, sxs 0, qlty 2
53.2. act 1, pred -1, sxs 0, qlty 2
53.3. act 1, pred -1, sxs 0, qlty 2
53.4. act 1, pred -1, sxs 0, qlty 2
53.5. act 1, pred -1, sxs 0, qlty 2
53.6. act 1, pred -1, sxs 0, qlty 2
53.7. act 1, pred -1, sxs 0, qlty 2
53.8. act 1, pred -1, sxs 0, qlty 2
53.9. act 1, pred -1, sxs 0, qlty 2
53.10. act 1, pred -1, sxs 0, qlty 2
53.11. act 1, pred 1, sxs 1, qlty 0
53.12. act 1, pred -1, sxs 0, qlty 2
53.13. act 1, pred -1, sxs 0, qlty 2
53.14. act 1, pred -1, sxs 0, qlty 2
53.15. act 1, pred -1, sxs 0, qlty 2
53.16. act 1, pred -1, sxs 0, qlty 2
53.17. act 1, pred -1, sxs 0, qlty 2
53.18. act 1, pred -1, sxs 0, qlty 2
53.19. act 1, pred -1, sxs 0, qlty 2
53.20. act 1, pred -1, sxs 0, qlty 2
53.21. act 1, pred -1, sxs 0, qlty 2
53.22. act 1, pred -1, sxs 0, qlty 2
53.23. act 1, pred -1, sxs 0, qlty 2
53.24. act 1, pred -1, sxs 0, qlty 2
53.25. act 1, pred -1, sxs 0, qlty 2
53.26. act 1, pred 1, sxs 1, qlty 2
53.27. act 1, pred -1, sxs 0, qlty 2
53.28. act 1, pred -1, sxs 0, qlty 2
53.29. act 1, pred -1, sxs 0, qlty 2
53.30. act 1, pred -1, sxs 0, qlty 2
53.31. act 1, pred -1, sxs 0, qlty 2
54.1. act -1, pred -1, sxs 1, qlty 0
54.2. act -1, pred -1, sxs 1, qlty 0
54.3. act -1, pred -1, sxs 1, qlty 0
54.4. act -1, pred -1, sxs 1, qlty 0
54.5. act -1, pred 1, sxs 0, qlty 2
54.6. act -1, pred 1, sxs 0, qlty 4
54.7. act -1, pred -1, sxs 1, qlty 0
54.8. act -1, pred -1, sxs 1, qlty 0
54.9. act -1, pred -1, sxs 1, qlty 0
54.10. act -1, pred -1, sxs 1, qlty 0
54.11. act -1, pred -1, sxs 1, qlty 0
54.12. act -1, pred -1, sxs 1, qlty 0
54.13. act -1, pred -1, sxs 1, qlty 0
54.14. act -1, pred -1, sxs 1, qlty 0
54.15. act -1, pred -1, sxs 1, qlty 0
54.16. act -1, pred -1, sxs 1, qlty 0
54.17. act -1, pred -1, sxs 1, qlty 0
54.18. act -1, pred 1, sxs 0, qlty 2
54.19. act -1, pred -1, sxs 1, qlty 0
54.20. act -1, pred -1, sxs 1, qlty 0
54.21. act -1, pred -1, sxs 1, qlty 0
54.22. act -1, pred 1, sxs 0, qlty 2
54.23. act -1, pred -1, sxs 1, qlty 0
54.24. act -1, pred 1, sxs 0, qlty 2
54.25. act -1, pred -1, sxs 1, qlty 0
54.26. act -1, pred -1, sxs 1, qlty 0
54.27. act -1, pred -1, sxs 1, qlty 0
54.28. act -1, pred -1, sxs 1, qlty 0
54.29. act -1, pred -1, sxs 1, qlty 0
54.30. act -1, pred -1, sxs 1, qlty 0
54.31. act -1, pred 1, sxs 0, qlty 2
55.1. act 1, pred 1, sxs 1, qlty 0
55.2. act 1, pred 1, sxs 1, qlty 0
