16.16. act -1, pred -1, sxs 1, qlty 0.500
16.17. act -1, pred -1, sxs 1, qlty 0.500
16.18. act -1, pred -1, sxs 1, qlty 1.000
16.19. act -1, pred -1, sxs 1, qlty 0.500
16.20. act -1, pred -1, sxs 1, qlty 0.500
16.21. act -1, pred 1, sxs 0, qlty 0.500
16.22. act -1, pred -1, sxs 1, qlty 0.500
16.23. act -1, pred -1, sxs 1, qlty 1.000
16.24. act -1, pred -1, sxs 1, qlty 0.500
16.25. act -1, pred -1, sxs 1, qlty 0.500
16.26. act -1, pred -1, sxs 1, qlty 1.000
16.27. act -1, pred 1, sxs 0, qlty 0.500
16.28. act -1, pred 1, sxs 0, qlty 0.500
16.29. act -1, pred -1, sxs 1, qlty 1.000
16.30. act -1, pred -1, sxs 1, qlty 0.500
16.31. act -1, pred -1, sxs 1, qlty 0.500
17.1. act -1, pred -1, sxs 1, qlty 0.500
17.2. act -1, pred -1, sxs 1, qlty 0.500
17.3. act -1, pred -1, sxs 1, qlty 1.000
17.4. act -1, pred -1, sxs 1, qlty 1.000
17.5. act -1, pred -1, sxs 1, qlty 0.500
17.6. act -1, pred -1, sxs 1, qlty 1.000
17.7. act -1, pred -1, sxs 1, qlty 1.000
17.8. act -1, pred -1, sxs 1, qlty 1.000
17.9. act -1, pred -1, sxs 1, qlty 1.000
17.10. act -1, pred -1, sxs 1, qlty 0.500
17.11. act -1, pred -1, sxs 1, qlty 0.500
17.12. act -1, pred -1, sxs 1, qlty 1.000
17.13. act -1, pred -1, sxs 1, qlty 0.500
17.14. act -1, pred -1, sxs 1, qlty 0.500
17.15. act -1, pred -1, sxs 1, qlty 1.000
17.16. act -1, pred -1, sxs 1, qlty 1.000
17.17. act -1, pred 1, sxs 0, qlty 0.500
17.18. act -1, pred -1, sxs 1, qlty 0.500
17.19. act -1, pred -1, sxs 1, qlty 1.000
17.20. act -1, pred -1, sxs 1, qlty 1.000
17.21. act -1, pred -1, sxs 1, qlty 0.500
17.22. act -1, pred -1, sxs 1, qlty 1.000
