11.5. act 1, pred -1, sxs 0, qlty 60
11.6. act 1, pred -1, sxs 0, qlty 60
11.7. act 1, pred -1, sxs 0, qlty 58
11.8. act 1, pred -1, sxs 0, qlty 56
11.9. act 1, pred -1, sxs 0, qlty 58
11.10. act 1, pred -1, sxs 0, qlty 60
11.11. act 1, pred -1, sxs 0, qlty 60
11.12. act 1, pred -1, sxs 0, qlty 60
11.13. act 1, pred -1, sxs 0, qlty 58
11.14. act 1, pred -1, sxs 0, qlty 60
11.15. act 1, pred -1, sxs 0, qlty 56
11.16. act 1, pred -1, sxs 0, qlty 58
11.17. act 1, pred -1, sxs 0, qlty 62
11.18. act 1, pred -1, sxs 0, qlty 56
11.19. act 1, pred -1, sxs 0, qlty 62
11.20. act 1, pred -1, sxs 0, qlty 60
11.21. act 1, pred -1, sxs 0, qlty 58
11.22. act 1, pred -1, sxs 0, qlty 56
11.23. act 1, pred -1, sxs 0, qlty 60
11.24. act 1, pred -1, sxs 0, qlty 58
11.25. act 1, pred -1, sxs 0, qlty 60
11.26. act 1, pred 1, sxs 1, qlty 60
11.27. act 1, pred -1, sxs 0, qlty 60
11.28. act 1, pred -1, sxs 0, qlty 62
11.29. act 1, pred -1, sxs 0, qlty 58
11.30. act 1, pred -1, sxs 0, qlty 56
11.31. act 1, pred -1, sxs 0, qlty 62
12.1. act 1, pred -1, sxs 0, qlty 60
12.2. act 1, pred -1, sxs 0, qlty 62
12.3. act 1, pred -1, sxs 0, qlty 62
12.4. act 1, pred -1, sxs 0, qlty 62
12.5. act 1, pred -1, sxs 0, qlty 62
12.6. act 1, pred 1, sxs 1, qlty 60
12.7. act 1, pred -1, sxs 0, qlty 62
12.8. act 1, pred -1, sxs 0, qlty 60
12.9. act 1, pred -1, sxs 0, qlty 62
12.10. act 1, pred 1, sxs 1, qlty 58
12.11. act 1, pred -1, sxs 0, qlty 60
12.12. act 1, pred -1, sxs 0, qlty 62
12.13. act 1, pred -1, sxs 0, qlty 62
12.14. act 1, pred -1, sxs 0, qlty 64
12.15. act 1, pred -1, sxs 0, qlty 60
12.16. act 1, pred -1, sxs 0, qlty 58
12.17. act 1, pred -1, sxs 0, qlty 62
12.18. act 1, pred -1, sxs 0, qlty 64
12.19. act 1, pred -1, sxs 0, qlty 64
12.20. act 1, pred -1, sxs 0, qlty 56
12.21. act 1, pred -1, sxs 0, qlty 62
12.22. act 1, pred -1, sxs 0, qlty 62
12.23. act 1, pred -1, sxs 0, qlty 62
12.24. act 1, pred -1, sxs 0, qlty 60
12.25. act 1, pred -1, sxs 0, qlty 64
12.26. act 1, pred -1, sxs 0, qlty 62
12.27. act 1, pred -1, sxs 0, qlty 64
12.28. act 1, pred -1, sxs 0, qlty 62
12.29. act 1, pred -1, sxs 0, qlty 62
12.30. act 1, pred -1, sxs 0, qlty 56
12.31. act 1, pred -1, sxs 0, qlty 58
13.1. act -1, pred -1, sxs 1, qlty 62
13.2. act -1, pred -1, sxs 1, qlty 60
13.3. act -1, pred -1, sxs 1, qlty 64
13.4. act -1, pred -1, sxs 1, qlty 64
13.5. act -1, pred -1, sxs 1, qlty 60
13.6. act -1, pred -1, sxs 1, qlty 58
13.7. act -1, pred -1, sxs 1, qlty 58
13.8. act -1, pred 1, sxs 0, qlty 64
13.9. act -1, pred -1, sxs 1, qlty 64
13.10. act -1, pred -1, sxs 1, qlty 64
13.11. act -1, pred -1, sxs 1, qlty 62
13.12. act -1, pred -1, sxs 1, qlty 58
13.13. act -1, pred -1, sxs 1, qlty 64
13.14. act -1, pred -1, sxs 1, qlty 64
13.15. act -1, pred -1, sxs 1, qlty 60
13.16. act -1, pred -1, sxs 1, qlty 62
13.17. act -1, pred 1, sxs 0, qlty 60
13.18. act -1, pred 1, sxs 0, qlty 58
13.19. act -1, pred -1, sxs 1, qlty 64
13.20. act -1, pred -1, sxs 1, qlty 60
13.21. act -1, pred -1, sxs 1, qlty 62
13.22. act -1, pred -1, sxs 1, qlty 62
13.23. act -1, pred -1, sxs 1, qlty 62
13.24. act -1, pred -1, sxs 1, qlty 60
13.25. act -1, pred -1, sxs 1, qlty 62
13.26. act -1, pred -1, sxs 1, qlty 64
13.27. act -1, pred -1, sxs 1, qlty 60
13.28. act -1, pred -1, sxs 1, qlty 58
13.29. act -1, pred -1, sxs 1, qlty 60
13.30. act -1, pred -1, sxs 1, qlty 66
13.31. act -1, pred 1, sxs 0, qlty 60
14.1. act -1, pred -1, sxs 1, qlty 62
14.2. act -1, pred -1, sxs 1, qlty 62
14.3. act -1, pred -1, sxs 1, qlty 64
14.4. act -1, pred -1, sxs 1, qlty 64
14.5. act -1, pred -1, sxs 1, qlty 62
14.6. act -1, pred -1, sxs 1, qlty 62
14.7. act -1, pred -1, sxs 1, qlty 64
14.8. act -1, pred -1, sxs 1, qlty 58
14.9. act -1, pred -1, sxs 1, qlty 62
14.10. act -1, pred -1, sxs 1, qlty 64
14.11. act -1, pred 1, sxs 0, qlty 54
14.12. act -1, pred -1, sxs 1, qlty 62
14.13. act -1, pred -1, sxs 1, qlty 58
14.14. act -1, pred -1, sxs 1, qlty 58
14.15. act -1, pred -1, sxs 1, qlty 62
14.16. act -1, pred -1, sxs 1, qlty 60
14.17. act -1, pred -1, sxs 1, qlty 64
14.18. act -1, pred -1, sxs 1, qlty 64
14.19. act -1, pred -1, sxs 1, qlty 54
14.20. act -1, pred -1, sxs 1, qlty 58
14.21. act -1, pred -1, sxs 1, qlty 58
14.22. act -1, pred -1, sxs 1, qlty 64
14.23. act -1, pred -1, sxs 1, qlty 60
14.24. act -1, pred -1, sxs 1, qlty 62
14.25. act -1, pred -1, sxs 1, qlty 64
14.26. act -1, pred -1, sxs 1, qlty 60
14.27. act -1, pred -1, sxs 1, qlty 62
14.28. act -1, pred -1, sxs 1, qlty 62
14.29. act -1, pred -1, sxs 1, qlty 60
14.30. act -1, pred -1, sxs 1, qlty 60
14.31. act -1, pred -1, sxs 1, qlty 58
15.1. act 1, pred -1, sxs 0, qlty 58
