7.29. act -1, pred -1, sxs 1, qlty 0.000
7.30. act -1, pred -1, sxs 1, qlty 1.000
7.31. act -1, pred -1, sxs 1, qlty 1.000
8.1. act -1, pred -1, sxs 1, qlty 1.000
8.2. act -1, pred -1, sxs 1, qlty 1.000
8.3. act -1, pred -1, sxs 1, qlty 1.000
8.4. act -1, pred -1, sxs 1, qlty 0.000
8.5. act -1, pred -1, sxs 1, qlty 1.000
8.6. act -1, pred -1, sxs 1, qlty 1.000
8.7. act -1, pred 1, sxs 0, qlty 1.000
8.8. act -1, pred -1, sxs 1, qlty 1.000
8.9. act -1, pred -1, sxs 1, qlty 1.000
8.10. act -1, pred -1, sxs 1, qlty 0.000
8.11. act -1, pred -1, sxs 1, qlty 0.000
8.12. act -1, pred -1, sxs 1, qlty 1.000
8.13. act -1, pred -1, sxs 1, qlty 0.000
8.14. act -1, pred -1, sxs 1, qlty 1.000
8.15. act -1, pred -1, sxs 1, qlty 1.000
8.16. act -1, pred -1, sxs 1, qlty 0.000
8.17. act -1, pred -1, sxs 1, qlty 1.000
8.18. act -1, pred -1, sxs 1, qlty 0.000
8.19. act -1, pred -1, sxs 1, qlty 1.000
8.20. act -1, pred -1, sxs 1, qlty 1.000
8.21. act -1, pred -1, sxs 1, qlty 1.000
8.22. act -1, pred -1, sxs 1, qlty 0.000
8.23. act -1, pred -1, sxs 1, qlty 1.000
8.24. act -1, pred -1, sxs 1, qlty 0.000
8.25. act -1, pred -1, sxs 1, qlty 0.000
8.26. act -1, pred -1, sxs 1, qlty 1.000
8.27. act -1, pred -1, sxs 1, qlty 1.000
8.28. act -1, pred -1, sxs 1, qlty 0.000
8.29. act -1, pred -1, sxs 1, qlty 1.000
8.30. act -1, pred -1, sxs 1, qlty 1.000
8.31. act -1, pred -1, sxs 1, qlty 1.000
9.1. act -1, pred 1, sxs 0, qlty 0.000
9.2. act -1, pred 1, sxs 0, qlty 1.000
9.3. act -1, pred 1, sxs 0, qlty 0.000
9.4. act -1, pred 1, sxs 0, qlty 0.000
9.5. act -1, pred 1, sxs 0, qlty 0.000
9.6. act -1, pred 1, sxs 0, qlty 0.000
9.7. act -1, pred 1, sxs 0, qlty 0.000
9.8. act -1, pred 1, sxs 0, qlty 1.000
9.9. act -1, pred 1, sxs 0, qlty 1.000
9.10. act -1, pred 1, sxs 0, qlty 1.000
9.11. act -1, pred 1, sxs 0, qlty 0.000
9.12. act -1, pred 1, sxs 0, qlty 1.000
9.13. act -1, pred 1, sxs 0, qlty 1.000
9.14. act -1, pred 1, sxs 0, qlty 1.000
9.15. act -1, pred 1, sxs 0, qlty 1.000
9.16. act -1, pred 1, sxs 0, qlty 0.000
9.17. act -1, pred 1, sxs 0, qlty 1.000
9.18. act -1, pred 1, sxs 0, qlty 0.000
9.19. act -1, pred 1, sxs 0, qlty 0.000
9.20. act -1, pred 1, sxs 0, qlty 1.000
9.21. act -1, pred 1, sxs 0, qlty 1.000
