7.17. act -1, pred -1, sxs 1, qlty 60
7.18. act -1, pred -1, sxs 1, qlty 68
7.19. act -1, pred 1, sxs 0, qlty 62
7.20. act -1, pred -1, sxs 1, qlty 66
7.21. act -1, pred -1, sxs 1, qlty 70
7.22. act -1, pred -1, sxs 1, qlty 68
7.23. act -1, pred -1, sxs 1, qlty 68
7.24. act -1, pred 1, sxs 0, qlty 64
7.25. act -1, pred -1, sxs 1, qlty 68
7.26. act -1, pred -1, sxs 1, qlty 62
7.27. act -1, pred 1, sxs 0, qlty 64
7.28. act -1, pred -1, sxs 1, qlty 68
7.29. act -1, pred -1, sxs 1, qlty 60
7.30. act -1, pred -1, sxs 1, qlty 60
7.31. act -1, pred 1, sxs 0, qlty 60
8.1. act 1, pred 1, sxs 1, qlty 52
8.2. act 1, pred 1, sxs 1, qlty 60
8.3. act 1, pred 1, sxs 1, qlty 62
8.4. act 1, pred 1, sxs 1, qlty 66
8.5. act 1, pred 1, sxs 1, qlty 66
8.6. act 1, pred 1, sxs 1, qlty 64
8.7. act 1, pred 1, sxs 1, qlty 62
8.8. act 1, pred 1, sxs 1, qlty 58
8.9. act 1, pred 1, sxs 1, qlty 72
8.10. act 1, pred 1, sxs 1, qlty 66
8.11. act 1, pred -1, sxs 0, qlty 66
8.12. act 1, pred -1, sxs 0, qlty 64
8.13. act 1, pred -1, sxs 0, qlty 62
8.14. act 1, pred -1, sxs 0, qlty 64
8.15. act 1, pred 1, sxs 1, qlty 62
8.16. act 1, pred 1, sxs 1, qlty 64
8.17. act 1, pred 1, sxs 1, qlty 56
8.18. act 1, pred -1, sxs 0, qlty 66
8.19. act 1, pred 1, sxs 1, qlty 64
8.20. act 1, pred 1, sxs 1, qlty 60
8.21. act 1, pred -1, sxs 0, qlty 68
8.22. act 1, pred 1, sxs 1, qlty 64
8.23. act 1, pred -1, sxs 0, qlty 64
8.24. act 1, pred -1, sxs 0, qlty 76
8.25. act 1, pred 1, sxs 1, qlty 64
8.26. act 1, pred 1, sxs 1, qlty 68
8.27. act 1, pred 1, sxs 1, qlty 62
8.28. act 1, pred 1, sxs 1, qlty 64
8.29. act 1, pred 1, sxs 1, qlty 76
8.30. act 1, pred 1, sxs 1, qlty 64
8.31. act 1, pred 1, sxs 1, qlty 64
9.1. act -1, pred -1, sxs 1, qlty 60
9.2. act -1, pred -1, sxs 1, qlty 64
9.3. act -1, pred -1, sxs 1, qlty 64
9.4. act -1, pred -1, sxs 1, qlty 64
9.5. act -1, pred -1, sxs 1, qlty 66
9.6. act -1, pred -1, sxs 1, qlty 62
9.7. act -1, pred -1, sxs 1, qlty 58
9.8. act -1, pred -1, sxs 1, qlty 66
9.9. act -1, pred -1, sxs 1, qlty 60
9.10. act -1, pred -1, sxs 1, qlty 66
9.11. act -1, pred -1, sxs 1, qlty 64
9.12. act -1, pred -1, sxs 1, qlty 62
9.13. act -1, pred -1, sxs 1, qlty 68
9.14. act -1, pred -1, sxs 1, qlty 68
9.15. act -1, pred -1, sxs 1, qlty 58
9.16. act -1, pred -1, sxs 1, qlty 60
9.17. act -1, pred -1, sxs 1, qlty 66
9.18. act -1, pred -1, sxs 1, qlty 66
9.19. act -1, pred -1, sxs 1, qlty 62
9.20. act -1, pred -1, sxs 1, qlty 58
9.21. act -1, pred -1, sxs 1, qlty 68
9.22. act -1, pred -1, sxs 1, qlty 56
9.23. act -1, pred -1, sxs 1, qlty 68
9.24. act -1, pred -1, sxs 1, qlty 60
9.25. act -1, pred -1, sxs 1, qlty 60
9.26. act -1, pred -1, sxs 1, qlty 58
9.27. act -1, pred -1, sxs 1, qlty 60
9.28. act -1, pred -1, sxs 1, qlty 64
9.29. act -1, pred -1, sxs 1, qlty 66
9.30. act -1, pred -1, sxs 1, qlty 62
9.31. act -1, pred -1, sxs 1, qlty 70
10.1. act -1, pred 1, sxs 0, qlty 64
10.2. act -1, pred 1, sxs 0, qlty 64
10.3. act -1, pred 1, sxs 0, qlty 66
10.4. act -1, pred 1, sxs 0, qlty 64
10.5. act -1, pred 1, sxs 0, qlty 64
10.6. act -1, pred 1, sxs 0, qlty 58
10.7. act -1, pred 1, sxs 0, qlty 62
10.8. act -1, pred 1, sxs 0, qlty 58
10.9. act -1, pred 1, sxs 0, qlty 56
10.10. act -1, pred 1, sxs 0, qlty 62
10.11. act -1, pred 1, sxs 0, qlty 66
10.12. act -1, pred 1, sxs 0, qlty 64
10.13. act -1, pred 1, sxs 0, qlty 64
10.14. act -1, pred 1, sxs 0, qlty 60
10.15. act -1, pred 1, sxs 0, qlty 60
10.16. act -1, pred 1, sxs 0, qlty 64
10.17. act -1, pred 1, sxs 0, qlty 58
10.18. act -1, pred 1, sxs 0, qlty 64
10.19. act -1, pred 1, sxs 0, qlty 60
10.20. act -1, pred 1, sxs 0, qlty 60
10.21. act -1, pred 1, sxs 0, qlty 62
10.22. act -1, pred 1, sxs 0, qlty 66
10.23. act -1, pred -1, sxs 1, qlty 64
10.24. act -1, pred 1, sxs 0, qlty 66
