7.15. act -1, pred -1, sxs 1, qlty 20
7.16. act -1, pred -1, sxs 1, qlty 22
7.17. act -1, pred 1, sxs 0, qlty 22
7.18. act -1, pred 1, sxs 0, qlty 22
7.19. act -1, pred -1, sxs 1, qlty 22
7.20. act -1, pred -1, sxs 1, qlty 22
7.21. act -1, pred -1, sxs 1, qlty 22
7.22. act -1, pred 1, sxs 0, qlty 24
7.23. act -1, pred -1, sxs 1, qlty 22
7.24. act -1, pred -1, sxs 1, qlty 24
7.25. act -1, pred 1, sxs 0, qlty 24
7.26. act -1, pred -1, sxs 1, qlty 20
7.27. act -1, pred 1, sxs 0, qlty 16
7.28. act -1, pred 1, sxs 0, qlty 20
7.29. act -1, pred 1, sxs 0, qlty 18
7.30. act -1, pred 1, sxs 0, qlty 24
7.31. act -1, pred 1, sxs 0, qlty 24
8.1. act 1, pred -1, sxs 0, qlty 20
8.2. act 1, pred 1, sxs 1, qlty 22
8.3. act 1, pred -1, sxs 0, qlty 24
8.4. act 1, pred -1, sxs 0, qlty 24
8.5. act 1, pred -1, sxs 0, qlty 22
8.6. act 1, pred -1, sxs 0, qlty 20
8.7. act 1, pred -1, sxs 0, qlty 22
8.8. act 1, pred -1, sxs 0, qlty 18
8.9. act 1, pred 1, sxs 1, qlty 22
8.10. act 1, pred -1, sxs 0, qlty 20
8.11. act 1, pred -1, sxs 0, qlty 26
8.12. act 1, pred -1, sxs 0, qlty 20
8.13. act 1, pred -1, sxs 0, qlty 20
8.14. act 1, pred -1, sxs 0, qlty 20
8.15. act 1, pred -1, sxs 0, qlty 20
8.16. act 1, pred -1, sxs 0, qlty 24
8.17. act 1, pred -1, sxs 0, qlty 22
8.18. act 1, pred -1, sxs 0, qlty 24
8.19. act 1, pred 1, sxs 1, qlty 24
8.20. act 1, pred -1, sxs 0, qlty 22
8.21. act 1, pred -1, sxs 0, qlty 20
8.22. act 1, pred -1, sxs 0, qlty 20
8.23. act 1, pred -1, sxs 0, qlty 22
8.24. act 1, pred 1, sxs 1, qlty 22
8.25. act 1, pred -1, sxs 0, qlty 24
8.26. act 1, pred -1, sxs 0, qlty 24
8.27. act 1, pred -1, sxs 0, qlty 26
8.28. act 1, pred -1, sxs 0, qlty 28
8.29. act 1, pred -1, sxs 0, qlty 22
8.30. act 1, pred -1, sxs 0, qlty 22
8.31. act 1, pred 1, sxs 1, qlty 20
9.1. act 1, pred -1, sxs 0, qlty 20
9.2. act 1, pred -1, sxs 0, qlty 22
9.3. act 1, pred -1, sxs 0, qlty 18
9.4. act 1, pred -1, sxs 0, qlty 20
9.5. act 1, pred -1, sxs 0, qlty 20
9.6. act 1, pred -1, sxs 0, qlty 20
9.7. act 1, pred -1, sxs 0, qlty 24
9.8. act 1, pred -1, sxs 0, qlty 22
9.9. act 1, pred -1, sxs 0, qlty 24
9.10. act 1, pred -1, sxs 0, qlty 22
9.11. act 1, pred -1, sxs 0, qlty 22
9.12. act 1, pred -1, sxs 0, qlty 20
9.13. act 1, pred -1, sxs 0, qlty 24
9.14. act 1, pred -1, sxs 0, qlty 20
9.15. act 1, pred -1, sxs 0, qlty 20
9.16. act 1, pred -1, sxs 0, qlty 22
9.17. act 1, pred -1, sxs 0, qlty 22
9.18. act 1, pred -1, sxs 0, qlty 22
9.19. act 1, pred -1, sxs 0, qlty 24
9.20. act 1, pred 1, sxs 1, qlty 22
9.21. act 1, pred -1, sxs 0, qlty 20
9.22. act 1, pred -1, sxs 0, qlty 22
9.23. act 1, pred -1, sxs 0, qlty 24
9.24. act 1, pred -1, sxs 0, qlty 18
9.25. act 1, pred -1, sxs 0, qlty 18
9.26. act 1, pred -1, sxs 0, qlty 26
9.27. act 1, pred -1, sxs 0, qlty 22
9.28. act 1, pred -1, sxs 0, qlty 22
9.29. act 1, pred -1, sxs 0, qlty 20
9.30. act 1, pred -1, sxs 0, qlty 20
9.31. act 1, pred -1, sxs 0, qlty 24
10.1. act -1, pred -1, sxs 1, qlty 18
10.2. act -1, pred -1, sxs 1, qlty 24
10.3. act -1, pred -1, sxs 1, qlty 22
10.4. act -1, pred 1, sxs 0, qlty 20
10.5. act -1, pred 1, sxs 0, qlty 20
10.6. act -1, pred -1, sxs 1, qlty 20
10.7. act -1, pred 1, sxs 0, qlty 24
10.8. act -1, pred -1, sxs 1, qlty 24
10.9. act -1, pred -1, sxs 1, qlty 24
10.10. act -1, pred -1, sxs 1, qlty 24
10.11. act -1, pred -1, sxs 1, qlty 16
10.12. act -1, pred 1, sxs 0, qlty 22
10.13. act -1, pred -1, sxs 1, qlty 24
10.14. act -1, pred -1, sxs 1, qlty 22
10.15. act -1, pred -1, sxs 1, qlty 26
10.16. act -1, pred -1, sxs 1, qlty 22
10.17. act -1, pred -1, sxs 1, qlty 22
10.18. act -1, pred 1, sxs 0, qlty 22
10.19. act -1, pred -1, sxs 1, qlty 22
10.20. act -1, pred -1, sxs 1, qlty 20
10.21. act -1, pred -1, sxs 1, qlty 22
10.22. act -1, pred -1, sxs 1, qlty 22
10.23. act -1, pred -1, sxs 1, qlty 26
10.24. act -1, pred -1, sxs 1, qlty 24
10.25. act -1, pred -1, sxs 1, qlty 18
10.26. act -1, pred 1, sxs 0, qlty 24
10.27. act -1, pred -1, sxs 1, qlty 22
10.28. act -1, pred -1, sxs 1, qlty 24
10.29. act -1, pred -1, sxs 1, qlty 22
10.30. act -1, pred -1, sxs 1, qlty 20
10.31. act -1, pred -1, sxs 1, qlty 24
11.1. act -1, pred -1, sxs 1, qlty 20
11.2. act -1, pred 1, sxs 0, qlty 18
11.3. act -1, pred -1, sxs 1, qlty 22
11.4. act -1, pred -1, sxs 1, qlty 22
11.5. act -1, pred -1, sxs 1, qlty 20
11.6. act -1, pred -1, sxs 1, qlty 24
11.7. act -1, pred 1, sxs 0, qlty 24
11.8. act -1, pred -1, sxs 1, qlty 20
11.9. act -1, pred -1, sxs 1, qlty 24
11.10. act -1, pred -1, sxs 1, qlty 20
11.11. act -1, pred 1, sxs 0, qlty 24
11.12. act -1, pred -1, sxs 1, qlty 24
11.13. act -1, pred -1, sxs 1, qlty 18
11.14. act -1, pred 1, sxs 0, qlty 16
11.15. act -1, pred -1, sxs 1, qlty 20
11.16. act -1, pred 1, sxs 0, qlty 24
11.17. act -1, pred -1, sxs 1, qlty 22
11.18. act -1, pred -1, sxs 1, qlty 18
11.19. act -1, pred -1, sxs 1, qlty 20
11.20. act -1, pred 1, sxs 0, qlty 22
11.21. act -1, pred -1, sxs 1, qlty 22
11.22. act -1, pred -1, sxs 1, qlty 24
11.23. act -1, pred -1, sxs 1, qlty 22
11.24. act -1, pred -1, sxs 1, qlty 18
11.25. act -1, pred 1, sxs 0, qlty 26
11.26. act -1, pred -1, sxs 1, qlty 20
11.27. act -1, pred -1, sxs 1, qlty 22
11.28. act -1, pred 1, sxs 0, qlty 22
11.29. act -1, pred -1, sxs 1, qlty 22
11.30. act -1, pred -1, sxs 1, qlty 20
11.31. act -1, pred -1, sxs 1, qlty 22
12.1. act -1, pred 1, sxs 0, qlty 20
12.2. act -1, pred -1, sxs 1, qlty 22
12.3. act -1, pred 1, sxs 0, qlty 24
12.4. act -1, pred -1, sxs 1, qlty 22
12.5. act -1, pred -1, sxs 1, qlty 20
12.6. act -1, pred 1, sxs 0, qlty 22
12.7. act -1, pred -1, sxs 1, qlty 22
12.8. act -1, pred -1, sxs 1, qlty 20
12.9. act -1, pred 1, sxs 0, qlty 20
12.10. act -1, pred 1, sxs 0, qlty 20
12.11. act -1, pred -1, sxs 1, qlty 22
12.12. act -1, pred -1, sxs 1, qlty 22
12.13. act -1, pred 1, sxs 0, qlty 22
12.14. act -1, pred 1, sxs 0, qlty 20
12.15. act -1, pred 1, sxs 0, qlty 18
12.16. act -1, pred 1, sxs 0, qlty 18
12.17. act -1, pred -1, sxs 1, qlty 26
12.18. act -1, pred -1, sxs 1, qlty 22
12.19. act -1, pred -1, sxs 1, qlty 24
12.20. act -1, pred 1, sxs 0, qlty 22
12.21. act -1, pred 1, sxs 0, qlty 20
12.22. act -1, pred -1, sxs 1, qlty 26
12.23. act -1, pred 1, sxs 0, qlty 22
12.24. act -1, pred 1, sxs 0, qlty 20
12.25. act -1, pred -1, sxs 1, qlty 24
12.26. act -1, pred -1, sxs 1, qlty 28
12.27. act -1, pred -1, sxs 1, qlty 22
12.28. act -1, pred 1, sxs 0, qlty 22
12.29. act -1, pred 1, sxs 0, qlty 24
12.30. act -1, pred -1, sxs 1, qlty 22
12.31. act -1, pred -1, sxs 1, qlty 22
13.1. act 1, pred 1, sxs 1, qlty 24
13.2. act 1, pred -1, sxs 0, qlty 24
13.3. act 1, pred 1, sxs 1, qlty 20
13.4. act 1, pred -1, sxs 0, qlty 22
13.5. act 1, pred 1, sxs 1, qlty 22
13.6. act 1, pred 1, sxs 1, qlty 20
13.7. act 1, pred 1, sxs 1, qlty 18
13.8. act 1, pred 1, sxs 1, qlty 20
13.9. act 1, pred -1, sxs 0, qlty 22
13.10. act 1, pred 1, sxs 1, qlty 24
13.11. act 1, pred -1, sxs 0, qlty 24
13.12. act 1, pred -1, sxs 0, qlty 22
13.13. act 1, pred 1, sxs 1, qlty 24
13.14. act 1, pred 1, sxs 1, qlty 22
13.15. act 1, pred 1, sxs 1, qlty 22
13.16. act 1, pred -1, sxs 0, qlty 20
13.17. act 1, pred 1, sxs 1, qlty 22
13.18. act 1, pred 1, sxs 1, qlty 22
13.19. act 1, pred 1, sxs 1, qlty 22
