8.29. act 1, pred -1, sxs 0, qlty 68
8.30. act 1, pred 1, sxs 1, qlty 68
8.31. act 1, pred 1, sxs 1, qlty 62
9.1. act -1, pred 1, sxs 0, qlty 68
9.2. act -1, pred -1, sxs 1, qlty 70
9.3. act -1, pred 1, sxs 0, qlty 68
9.4. act -1, pred -1, sxs 1, qlty 64
9.5. act -1, pred -1, sxs 1, qlty 66
9.6. act -1, pred 1, sxs 0, qlty 66
9.7. act -1, pred -1, sxs 1, qlty 68
9.8. act -1, pred -1, sxs 1, qlty 72
9.9. act -1, pred -1, sxs 1, qlty 68
9.10. act -1, pred -1, sxs 1, qlty 68
9.11. act -1, pred -1, sxs 1, qlty 70
9.12. act -1, pred -1, sxs 1, qlty 72
9.13. act -1, pred -1, sxs 1, qlty 64
9.14. act -1, pred -1, sxs 1, qlty 70
9.15. act -1, pred -1, sxs 1, qlty 72
9.16. act -1, pred 1, sxs 0, qlty 62
9.17. act -1, pred 1, sxs 0, qlty 66
9.18. act -1, pred -1, sxs 1, qlty 66
9.19. act -1, pred -1, sxs 1, qlty 68
9.20. act -1, pred 1, sxs 0, qlty 68
9.21. act -1, pred 1, sxs 0, qlty 72
9.22. act -1, pred -1, sxs 1, qlty 64
9.23. act -1, pred -1, sxs 1, qlty 68
9.24. act -1, pred -1, sxs 1, qlty 68
9.25. act -1, pred -1, sxs 1, qlty 70
9.26. act -1, pred -1, sxs 1, qlty 68
9.27. act -1, pred -1, sxs 1, qlty 66
9.28. act -1, pred -1, sxs 1, qlty 64
9.29. act -1, pred 1, sxs 0, qlty 72
9.30. act -1, pred -1, sxs 1, qlty 72
9.31. act -1, pred -1, sxs 1, qlty 70
10.1. act -1, pred -1, sxs 1, qlty 62
10.2. act -1, pred 1, sxs 0, qlty 64
10.3. act -1, pred 1, sxs 0, qlty 66
10.4. act -1, pred -1, sxs 1, qlty 66
10.5. act -1, pred 1, sxs 0, qlty 68
10.6. act -1, pred -1, sxs 1, qlty 74
10.7. act -1, pred 1, sxs 0, qlty 66
10.8. act -1, pred -1, sxs 1, qlty 64
10.9. act -1, pred -1, sxs 1, qlty 66
10.10. act -1, pred 1, sxs 0, qlty 68
10.11. act -1, pred -1, sxs 1, qlty 68
10.12. act -1, pred -1, sxs 1, qlty 66
10.13. act -1, pred 1, sxs 0, qlty 60
10.14. act -1, pred 1, sxs 0, qlty 66
10.15. act -1, pred -1, sxs 1, qlty 62
10.16. act -1, pred 1, sxs 0, qlty 66
10.17. act -1, pred -1, sxs 1, qlty 72
10.18. act -1, pred 1, sxs 0, qlty 64
10.19. act -1, pred -1, sxs 1, qlty 72
10.20. act -1, pred 1, sxs 0, qlty 64
10.21. act -1, pred -1, sxs 1, qlty 70
10.22. act -1, pred -1, sxs 1, qlty 68
10.23. act -1, pred -1, sxs 1, qlty 66
10.24. act -1, pred 1, sxs 0, qlty 70
10.25. act -1, pred 1, sxs 0, qlty 68
10.26. act -1, pred 1, sxs 0, qlty 68
10.27. act -1, pred -1, sxs 1, qlty 72
10.28. act -1, pred -1, sxs 1, qlty 68
10.29. act -1, pred 1, sxs 0, qlty 68
